	ncbi_taxon_id	taxon_rank_level	scientific_name	numRunsWhereFound Disease	meanRelAdun Disease	medianRelAdun Disease	SDRelAdun Disease	numRunsWhereFound Health	meanRelAdun Health	medianRelAdun Health	SDRelAdun Health	result	tStat	pValue	pStat
5	28117	species	Alistipes putredinis	120	0.8501643135	0.472873	0.980273272715117	952	1.3009258579306722	0.798605	1.5351369737466602	PASS	-5.463560171611545		9.266314057161048e-08
12	351091	species	Oscillibacter valericigenes	125	0.9739144464	0.541781	1.344636956038434	965	1.2641996828911917	0.686732	1.59788564346483	PASS	-2.7123371493743496		0.007120102516481604
19	1465754	species	Alistipes timonensis	107	0.0838235641682242	0.0250177	0.1368377603354079	858	0.1728774097785547	0.0430379	0.6962111358719996	PASS	-4.205939192555512		2.7616296926291373e-05
23	28118	species	Odoribacter splanchnicus	96	0.1801206404166666	0.1205175	0.2383592907169993	851	0.2354336787144536	0.149132	0.2927635247781403	PASS	-2.899706947196367		0.00404270169246183
47	44749	species	Sporobacter termitidis	115	0.2799794215652173	0.105168	0.3858013925798716	915	0.3839597531803278	0.153003	0.6057979491690695	PASS	-3.2001690423300078		0.0015079012422997283
51	626937	species	Christensenella minuta	86	0.1087456541627907	0.02046035	0.2978148774260394	758	0.1816935341741425	0.0417958	0.4398319929467377	PASS	-2.9512779378710294		0.003406040382764001
62	61171	species	Holdemania filiformis	100	0.0469747824	0.0293117	0.0590264517602638	808	0.0351111591089108	0.0204959	0.0502522085941152	PASS	2.6299194539750292		0.009129561011985312
71	310298	species	Bacteroides coprocola	84	0.3690723802738095	0.0140041	1.2884452996261329	729	0.8190639385679013	0.0150421	3.032186391334446	PASS	-3.6208756582757236		0.0003217002708792076
73	84109	species	Slackia exigua	33	0.0541543604848484	0.0233263	0.0834258833150123	240	0.0375229078125	0.01910805	0.0661909838417224	PASS	2.6240082443354704		0.009298857159198584
83	29375	species	[Clostridium] xylanolyticum	91	0.0626065731868131	0.0219909	0.11427077431755	740	0.0992997293918918	0.02224335	0.2897789448649788	PASS	-3.2198399136127343		0.0013527014639425653
94	33043	species	Coprococcus eutactus	89	0.2572357799999999	0.0153014	0.5903447512138751	811	0.4993904160665844	0.0660284	1.0722625487119974	PASS	-4.676825408317091		4.052241504299884e-06
98	40518	species	Ruminococcus bromii	97	0.1485689410309278	0.0374637	0.3891873834651575	811	0.3160934846276202	0.0560096	1.250066917763435	PASS	-3.813392690908573		0.00014697864277454065
106	1161942	species	Ruminococcus champanellensis	64	0.17240336328125	0.0207066	0.440744458716179	664	0.4300748071521085	0.02823685	1.3492589134131807	PASS	-5.323305207178437		1.3287201505654504e-07
109	1755629	species	Victivallis sp. MC_44	27	0.0508496335555555	0.0246196	0.0941544585161062	373	0.0952301720294906	0.0324369	0.2445862592050931	PASS	-4.673129437679652		3.6468518222093663e-06
117	1510	species	[Clostridium] stercorarium	38	0.1215647328421052	0.0112538	0.2886898810213074	455	0.1950787122285714	0.0264915	0.5010085836225956	PASS	-2.9431735318190424		0.003457972332449399
124	1735	species	Holdemanella biformis	42	0.8794005742857143	0.216316	1.7449503385681735	448	0.4592028560044643	0.1295475	0.989921262405146	PASS	3.232193046654836		0.0014329001792867959
128	281920	species	Porphyromonas uenonis	39	0.0598980817948717	0.0191086	0.0958205738334888	263	0.0366346910038022	0.0119218	0.090942261522009	PASS	3.1428922949799984		0.0018881612025460706
129	1506	species	Clostridium sp.	29	0.013228228275862	0.0101115	0.0112921809469353	309	0.0394401128478964	0.0109176	0.132010905517432	PASS	-7.210328308648576		8.789892596632805e-13
130	28128	species	Prevotella corporis	47	0.9037986729787236	0.0297548	3.6308160733594943	371	0.1892088721805929	0.0239612	0.630329699011869	PASS	2.6930729791668666		0.007717753129822569
131	2741	species	Peptococcus niger	29	0.1233388312413793	0.0221178	0.2577170869805437	263	0.0362816752471482	0.0165481	0.0931694902485595	PASS	4.591295504242841		7.913850863732941e-06
132	39950	species	Dialister pneumosintes	29	0.0703584048275862	0.0120685	0.1552227787167545	232	0.0353779931034482	0.0186327	0.0516999007106279	PASS	3.0670049552711065		0.0024731229004668165
135	28111	species	Bacteroides eggerthii	90	0.2560981777777777	0.01182845	0.8848872852321333	753	0.5341959089774236	0.0176499	1.628516542855882	PASS	-3.5685858035953575		0.00040403749980941537
144	1681	species	Bifidobacterium bifidum	31	0.0891693299354838	0.0181909	0.1672334444576936	182	0.0484557336813186	0.016422	0.085412272016623	PASS	3.2806975482541603		0.0012212736309097753
146	29347	species	[Clostridium] scindens	37	0.0514172299999999	0.0179186	0.0808635605221879	205	0.0316305438536585	0.0100376	0.0634852923101038	PASS	3.2233817019381954		0.001459942375705145
155	38304	species	Corynebacterium tuberculostearicum	59	0.0275580247966101	0.0150883	0.0457424321417289	391	0.0475716607416879	0.0106474	0.2300480345648921	PASS	-2.8531844619920816		0.00439115622492936
157	381706	species	Oceanobacillus chironomi	2	0.01966031	0.01966031	0.0213565905486854	11	0.031735909090909	0.0102631	0.0403183628787207	PASS	-6.36832789556665		5.274445434792635e-10
158	1223514	species	Corynebacterium humireducens	30	0.0410433623333333	0.0137764499999999	0.0635626260031603	255	0.0820774119647058	0.0153531	0.2926450648154552	PASS	-4.501285638864613		7.3461025790876476e-06
161	254	species	Chryseobacterium indoltheticum	2	0.363716245	0.363716245	0.5070744115879247	4	0.1579677374999999	0.0558448349999999	0.2454746673697659	PASS	5.477317522698411		1.294282340715044e-07
162	136857	species	Corynebacterium testudinoris	19	0.0194319226315789	0.0127167	0.0210170581924926	171	0.0468709169298245	0.0102354	0.1379730739467329	PASS	-6.850137172681076		1.0570998139160378e-11
164	29552	species	Acholeplasma axanthum	18	0.0742656338888889	0.0109896849999999	0.1700697222868262	296	0.2446456771655405	0.02405175	0.7246667966870158	PASS	-7.389346290977106		2.7128074564283416e-13
165	52226	species	Mitsuokella multacida	23	0.0980965367826087	0.0115325	0.1328479118131664	168	0.2215217141666666	0.01202735	1.1331389263938405	PASS	-3.8691104798167433		0.00011371550270856521
167	2317	species	Methanosphaera stadtmanae	6	0.0733834333333333	0.06596315	0.0546583679963705	71	0.040080804084507	0.0239874	0.0644205320629887	PASS	7.665044425858707		3.4701646486670424e-13
168	216935	species	Spiroplasma culicicola	2	0.022779495	0.022779495	0.0246766195209159	62	0.2935408977419354	0.0196713499999999	0.6764433942280971	PASS	-14.850345428572076		1.798499371600471e-46
171	171685	species	Bacillus murimartini	7	0.0894926914285714	0.0290515	0.1090147049629262	24	0.0429044475	0.01600275	0.0829606106382961	PASS	5.6428012055098895		5.186094442224446e-08
174	1291540	species	Candidatus Methanomethylophilus alvus	6	0.0701303166666666	0.01666505	0.1323520134515439	29	0.220710184137931	0.111617	0.2905523188459054	PASS	-12.137614498890837		8.997458634032625e-30
175	105229	species	Bacillus fumarioli	4	0.0296226349999999	0.0256715	0.0259443711148211	27	0.0508735574074074	0.0106372	0.1198678288855531	PASS	-5.696401989568204		1.5042001681338966e-08
176	1406512	species	Candidatus Methanomassiliicoccus intestinalis	2	0.025266	0.025266	0.0147641067484626	20	0.033766124	0.01896945	0.0404444395325827	PASS	-5.5611479147208325		3.88106779482943e-08
177	53254	species	Bosea thiooxidans	4	0.0839334299999999	0.0869918	0.0844263443623983	21	0.0513348271428571	0.0128474	0.0951334858780812	PASS	4.8908639895745205		1.7765726258744366e-06
180	187452	species	Pediococcus claussenii	3	0.1376165266666666	0.0167485	0.2203906514561181	30	0.9383326384333334	0.01161625	3.105689998347537	PASS	-9.438211784308717		1.41772310528478e-20
182	853	species	Faecalibacterium prausnitzii	16	1.10932403	0.8232980000000001	1.1846178408814352	140	4.693931477214285	2.669205	4.917973071724985	PASS	-22.732602505639836		2.1103272457500943e-95
183	204038	species	Dickeya dadantii	7	0.0285640585714285	0.0244591	0.0154559027690614	87	0.0523638967816092	0.0179147	0.2863798639347931	PASS	-3.0655763264987193		0.002212790911433818
184	85831	species	Bacteroides acidifaciens	15	1.2017219693333334	0.954462	1.206485710483184	139	0.8560540594964029	0.453519	1.395940866970341	PASS	3.614756458977685		0.00036100020303473236
185	89014	species	Blautia luti	14	0.0542412299999999	0.02679805	0.0650699589229852	137	0.1011626955474452	0.0560492	0.1893367152815359	PASS	-6.75062507213637		2.9990968011954797e-11
188	78345	species	Bifidobacterium merycicum	11	0.0915582963636363	0.0319849	0.1158980762068898	113	0.1561421996460176	0.0392447	0.326176577414751	PASS	-5.30895879525305		1.4851383125241322e-07
190	572010	species	Slackia isoflavoniconvertens	2	0.06713675	0.06713675	0.0926157855396422	41	0.0348691580487804	0.0110982	0.0598243213226551	PASS	4.647716279187028		5.945238115696896e-06
192	234908	species	Sutterella stercoricanis	8	0.0572762575	0.0245269449999999	0.0905360941814062	59	0.101459923559322	0.0183126	0.1788917128592281	PASS	-5.413140282515797		1.0424386219292873e-07
193	54005	species	Peptoniphilus harei	6	0.6545184000000001	0.0467548	1.4850665061064436	67	0.1536806704477611	0.0112249	0.6378844892683359	PASS	4.567493428180545		8.702917454855069e-06
194	301302	species	Roseburia faecis	10	0.011711332	0.010617725	0.0067820281713819	106	0.0253128510377358	0.0104810499999999	0.056993943469722	PASS	-8.465356550813299		5.781688430431969e-17
195	54007	species	Anaerococcus octavius	5	0.018099414	0.0103748	0.0247250228979869	31	0.0608203267741935	0.0101882	0.2081426328626729	PASS	-7.28177891148968		5.193298960684248e-13
196	360807	species	Roseburia inulinivorans	12	0.3220237091666666	0.0507863499999999	0.869158851791946	126	0.0975516792857143	0.0292185	0.2133434119556401	PASS	3.526790348602227		0.000527263686689834
198	66851	species	Methanobrevibacter oralis	3	0.1227807833333333	0.0652354	0.1556257146457835	68	0.0881203565588235	0.01423255	0.2514672726784459	PASS	2.62518902704182		0.009055037493300517
199	32013	species	Comamonas terrigena	4	0.02229599	0.021864975	0.0172034114592833	27	0.7584353144444443	0.0136019	1.9551368693733764	PASS	-14.033499519850563		6.111031450450163e-42
202	456493	species	Saccharibacillus sacchari	2	0.01612996	0.01612996	0.0182738171147464	17	0.0830115735294117	0.0126863	0.1608510524131896	PASS	-14.811487313781917		1.5253547127625863e-46
203	274	species	Thermus thermophilus	5	0.026691032	0.0155429	0.0264955560159646	33	0.0191090645454545	0.0148865	0.0182155876914824	PASS	3.803924748683532		0.00018638398355586404
